,name,sentiment,percentage
0,Barnet,positive,16.49484536082474
1,Barnet,neutral,77.31958762886597
2,Barnet,negative,6.185567010309279
3,Bexley,positive,22.471910112359552
4,Bexley,neutral,66.29213483146067
5,Bexley,negative,11.235955056179776
6,Brent,positive,10.989010989010989
7,Brent,neutral,82.41758241758241
8,Brent,negative,6.593406593406593
9,Bromley,positive,24.444444444444443
10,Bromley,neutral,70.0
11,Bromley,negative,5.555555555555555
12,Camden,positive,21.50537634408602
13,Camden,neutral,63.44086021505377
14,Camden,negative,15.053763440860216
15,Croydon,positive,17.391304347826086
16,Croydon,neutral,71.7391304347826
17,Croydon,negative,10.869565217391305
18,Ealing,positive,25.555555555555557
19,Ealing,neutral,54.44444444444444
20,Ealing,negative,20.0
21,Enfield,positive,20.0
22,Enfield,neutral,72.0
23,Enfield,negative,8.0
24,Greenwich,positive,12.5
25,Greenwich,neutral,79.16666666666667
26,Greenwich,negative,8.333333333333334
27,Hackney,positive,18.681318681318682
28,Hackney,neutral,67.03296703296702
29,Hackney,negative,14.285714285714286
30,Hammersmith and Fulham,positive,29.62962962962963
31,Hammersmith and Fulham,neutral,59.25925925925925
32,Hammersmith and Fulham,negative,11.11111111111111
33,Haringey,positive,19.35483870967742
34,Haringey,neutral,68.81720430107526
35,Haringey,negative,11.827956989247312
36,Harrow,positive,22.22222222222222
37,Harrow,neutral,61.9047619047619
38,Harrow,negative,15.873015873015873
39,Havering,positive,5.9523809523809526
40,Havering,neutral,82.14285714285714
41,Havering,negative,11.904761904761905
42,Hillingdon,positive,17.582417582417584
43,Hillingdon,neutral,72.52747252747253
44,Hillingdon,negative,9.89010989010989
45,Hounslow,positive,20.0
46,Hounslow,neutral,72.85714285714286
47,Hounslow,negative,7.142857142857143
48,Islington,positive,20.689655172413794
49,Islington,neutral,62.06896551724138
50,Islington,negative,17.24137931034483
51,Kensington and Chelsea,positive,25.28735632183908
52,Kensington and Chelsea,neutral,66.66666666666666
53,Kensington and Chelsea,negative,8.045977011494253
54,Kingston upon Thames,positive,25.37313432835821
55,Kingston upon Thames,neutral,71.64179104477613
56,Kingston upon Thames,negative,2.985074626865672
57,Lambeth,positive,16.842105263157894
58,Lambeth,neutral,71.57894736842105
59,Lambeth,negative,11.578947368421053
60,Lewisham,positive,14.772727272727273
61,Lewisham,neutral,72.72727272727272
62,Lewisham,negative,12.5
63,Merton,positive,15.625
64,Merton,neutral,63.54166666666667
65,Merton,negative,20.833333333333332
66,Newham,positive,18.75
67,Newham,neutral,58.33333333333333
68,Newham,negative,22.916666666666668
69,Redbridge,positive,13.541666666666666
70,Redbridge,neutral,76.04166666666666
71,Redbridge,negative,10.416666666666666
72,Richmond upon Thames,positive,36.36363636363637
73,Richmond upon Thames,neutral,56.060606060606055
74,Richmond upon Thames,negative,7.575757575757576
75,Southwark,positive,26.582278481012658
76,Southwark,neutral,62.02531645569621
77,Southwark,negative,11.39240506329114
78,Sutton,positive,19.791666666666668
79,Sutton,neutral,68.75
80,Sutton,negative,11.458333333333334
81,Tower Hamlets,positive,26.136363636363637
82,Tower Hamlets,neutral,69.31818181818181
83,Tower Hamlets,negative,4.545454545454546
84,Waltham Forest,positive,16.071428571428573
85,Waltham Forest,neutral,75.0
86,Waltham Forest,negative,8.928571428571429
87,Wandsworth,positive,29.347826086956523
88,Wandsworth,neutral,63.043478260869556
89,Wandsworth,negative,7.608695652173913
90,Westminster,positive,12.048192771084338
91,Westminster,neutral,74.6987951807229
92,Westminster,negative,13.25301204819277
